cod_interno,titulo,precio_base_archivo,precio_lista_firestore,precio_mayorista_old,precio_mayorista_new,precio_negocio_old,precio_negocio_new,precio_persona_natural_old,precio_persona_natural_new,precio_nuevos_old,precio_nuevos_new,es_excepcion_KQ,estado
"HC308","Vinilo Tipo Iii Primer Cuñete Crema",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC307","Vinilo Tipo Iii Primer Cuñete  Blanca  Luna",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC306","Vinilo Tipo Iii Primer Cuñete  Blanco Chantillí",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC305","Vinilo Tipo Iii Primer Cuñete  Blanco Manzana",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC303","Vinilo Tipo Iii Primer Cuñete Blanco Hueso",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC302","Vinilo Tipo Iii Primer Cuñete Blanco Ostra",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC301","Vinilo Tipo Iii Primer Cuñete Blanco Almendra",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC300","Vinilo Tipo Iii Primer Cuñete Blanco",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC214","Vinilo Tipo Iii Primer Cuñete  Rojo Dulce",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC213","Vinilo Tipo Iii Primer Cuñete Rojo Flamenco",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC212","Vinilo Tipo Iii Primer Cuñete  Rojo Tierra",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC211","Vinilo Tipo Iii Primer Cuñete  Rojo Canela",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC210","Vinilo Tipo Iii Primer Cuñete  Coral",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC202","Vinilo Tipo Iii Primer Cuñete Mora",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC2","Vinilo Tipo Interior Cuñete Sin Litografia Recuperado",59230.9,59231,77000,77000,79962,79962,82923,82923,85885,85885,NO,actualizado
"HC113","Vinilo Tipo Iii Primer Cuñete  Azul Navegante",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC112","Vinilo Tipo Iii Primer Cuñete  Cielo De Abril",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC111","Vinilo Tipo Iii Primer Cuñete  Fiesta Del Mar",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC110","Vinilo Tipo Iii Primer Cuñete  Azul Horizonte",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC10","Vinilo Tipo Iii Primer Cuñete  Miel Mostaza",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC1","Vinilo Tipo Iii Primer Cuñete Sin Litografia Nuevo",86000,86000,111800,111800,116100,116100,120400,120400,124700,124700,NO,sin_cambio_base
"HC09","Vinilo Tipo Iii Primer Cuñete  Luz De Oro",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC08","Vinilo Tipo Iii Primer Cuñete  Sol De La Tarde",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HC05","Vinilo Tipo Iii Primer Cuñete Camelia",55380.4,55380,71994,71995,74763,74764,77532,77533,80301,80302,NO,actualizado
"HB913","Vinilo Tipo Iii Primer 1/2 Cuñete Marron",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB912","Vinilo Tipo Iii Primer 1/2 Cuñete Chocolate",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB911","Vinilo Tipo Iii Primer 1/2 Cuñete Sauce",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB900","Vinilo Tipo Iii Primer 1/2 Cuñete Champaña",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB704","Vinilo Tipo Iii Primer 1/2 Cuñete Melon",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB625","Vinilo Tipo Iii Primer 1/2 Cuñete Verde Bruma",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB624","Vinilo Tipo Iii Primer 1/2 Cuñete Verde Oliva",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB623","Vinilo Tipo Iii Primer 1/2 Cuñete Verde Trebol",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB622","Vinilo Tipo Iii Primer 1/2 Cuñete Verde Aromatico",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB621","Vinilo Tipo Iii Primer 1/2 Cuñete Verde Herbal",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB620","Vinilo Tipo Iii Primer 1/2 Cuñete Verde Complice",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB610","Vinilo Tipo Iii Primer 1/2 Cuñete Verde Manzana",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB609","Vinilo Tipo Iii Primer 1/2 Cuñete Verde Seda",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB608","Vinilo Tipo Iii Primer 1/2 Cuñete Verde Agua",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB602","Vinilo Tipo Iii Primer 1/2 Cuñete Verde Claro",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB504","Vinilo Tipo Iii Primer 1/2 Cuñete Gris Estaño",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB312","Vinilo Tipo Iii Primer 1/2 Cuñete Blanco Ilusion",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB311","Vinilo Tipo Iii Primer 1/2 Cuñete Luz Tenue",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB310","Vinilo Tipo Iii Primer 1/2 Cuñete Blanco Novia",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB308","Vinilo Tipo Iii Primer 1/2 Cuñete Blanco  Arena",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB307","Vinilo Tipo Iii Primer 1/2 Cuñete Blanca  Luna",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB306","Vinilo Tipo Iii Primer 1/2 Cuñete Blanco Chantillí",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB305","Vinilo Tipo Iii Primer 1/2 Cuñete Blanco Manzana",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB303","Vinilo Tipo Iii Primer 1/2 Cuñete Blanco Hueso",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB302","Vinilo Tipo Iii Primer 1/2 Cuñete Blanco Ostra",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB301","Vinilo Tipo Iii Primer 1/2 Cuñete Blanco Almendra",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB300","Vinilo Tipo Iii Primer 1/2 Cuñete Blanco",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB214","Vinilo Tipo Iii Primer 1/2 Cuñete Rojo Dulce",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB213","Vinilo Tipo Iii Primer 1/2 Cuñete Rojo Flamenco",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB212","Vinilo Tipo Iii Primer 1/2 Cuñete Rojo Tierra",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB211","Vinilo Tipo Iii Primer 1/2 Cuñete Rojo Canela",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB210","Vinilo Tipo Iii Primer 1/2 Cuñete Coral",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB202","Vinilo Tipo Iii Primer 1/2 Cuñete Mora",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB2","Vinilo Tipo Interior 1/2 Cuñete Blanco",52542,52542,68305,68305,70932,70932,73559,73559,76186,76186,NO,sin_cambio_base
"HB113","Vinilo Tipo Iii Primer 1/2 Cuñete Azul Navegante",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB112","Vinilo Tipo Iii Primer 1/2 Cuñete Cielo De Abril",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB111","Vinilo Tipo Iii Primer 1/2 Cuñete Fiesta Del Mar",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB110","Vinilo Tipo Iii Primer 1/2 Cuñete Azul Horizonte",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB10","Vinilo Tipo Iii Primer 1/2 Cuñete Miel Mostaza",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB09","Vinilo Tipo Iii Primer 1/2 Cuñete Luz De Oro",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB08","Vinilo Tipo Iii Primer 1/2 Cuñete Sol De La Tarde",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"HB05","Vinilo Tipo Iii Primer 1/2 Cuñete Camelia",31900,31900,41470,41470,43065,43065,44660,44660,46255,46255,NO,sin_cambio_base
"GX913","Vinilo Tipo 2 Obra 1/4 Marron",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX912","Vinilo Tipo 2 Obra 1/4 Chocolate",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX911","Vinilo Tipo 2 Obra 1/4 Sauce",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX900","Vinilo Tipo 2 Obra 1/4 Champaña",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX802","Vinilo Tipo 2 Obra 1/4 Lila",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX707","Vinilo Tipo 2 Obra 1/4 Pomarosa",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX706","Vinilo Tipo 2 Obra 1/4 Palo De Rosa",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX705","Vinilo Tipo 2 Obra 1/4 Curuba",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX704","Vinilo Tipo 2 Obra 1/4 Melon",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX625","Vinilo Tipo 2 Obra 1/4 Verde Bruma",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX624","Vinilo Tipo 2 Obra 1/4 Verde Oliva",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX623","Vinilo Tipo 2 Obra 1/4 Verde Trebol",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX622","Vinilo Tipo 2 Obra 1/4 Verde Aromatico",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX621","Vinilo Tipo 2 Obra 1/4 Verde Herbal",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX620","Vinilo Tipo 2 Obra 1/4 Verde Complice",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX615","Vinilo Tipo 2 Obra 1/4 Menta Fresca",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX610","Vinilo Tipo 2 Obra 1/4 Verde Manzana",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX609","Vinilo Tipo 2 Obra 1/4 Verde Seda",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX608","Vinilo Tipo 2 Obra 1/4 Verde Agua",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX607","Vinilo Tipo 2 Obra 1/4 Verde Chartreuse",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX602","Vinilo Tipo 2 Obra 1/4 Verde Claro",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX504","Vinilo Tipo 2 Obra 1/4 Gris Estaño",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX501","Vinilo Tipo 2 Obra 1/4 Gris Nube",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX312","Vinilo Tipo 2 Obra 1/4 Blanco Ilusion",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX311","Vinilo Tipo 2 Obra 1/4 Luz Tenue",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX310","Vinilo Tipo 2 Obra 1/4 Blanco Novia",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX308","Vinilo Tipo 2 Obra 1/4 Blanco  Arena",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX307","Vinilo Tipo 2 Obra 1/4 Blanca  Luna",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX306","Vinilo Tipo 2 Obra 1/4 Blanco Chantillí",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX305","Vinilo Tipo 2 Obra 1/4 Blanco Manzana",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX304","Vinilo Tipo 2 Obra 1/4 Crema",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX303","Vinilo Tipo 2 Obra 1/4 Blanco Hueso",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX302","Vinilo Tipo 2 Obra 1/4  Blanco Ostra",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX301","Vinilo Tipo 2 Obra 1/4 Blanco Almendra",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX300","Vinilo Tipo 2 Obra 1/4 Blanco",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX214","Vinilo Tipo 2 Obra 1/4 Rojo Dulce",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX213","Vinilo Tipo 2 Obra 1/4 Rojo Flamenco",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX212","Vinilo Tipo 2 Obra 1/4 Rojo Tierra",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX211","Vinilo Tipo 2 Obra 1/4 Rojo Canela",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX210","Vinilo Tipo 2 Obra 1/4 Coral",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX208","Vinilo Tipo 2 Obra 1/4 Rojo Emociòn",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX202","Vinilo Tipo 2 Obra 1/4  Mora",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX113","Vinilo Tipo 2 Obra 1/4 Azul Navegante",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX112","Vinilo Tipo 2 Obra 1/4 Cielo De Abril",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX111","Vinilo Tipo 2 Obra 1/4 Fiesta Del Mar",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX110","Vinilo Tipo 2 Obra 1/4 Azul Horizonte",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX106","Vinilo Tipo 2 Obra 1/4 Azul Cielo",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX105","Vinilo Tipo 2 Obra 1/4 Azul Porcelana",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX104","Vinilo Tipo 2 Obra 1/4 Azul Celeste",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX10","Vinilo Tipo 2 Obra 1/4 Miel Mostaza",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX09","Vinilo Tipo 2 Obra 1/4 Luz De Oro",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX08","Vinilo Tipo 2 Obra 1/4 Sol De La Tarde",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GX05","Vinilo Tipo 2 Obra 1/4 Camelia",5769.2,5769,7500,7500,7788,7788,8077,8077,8365,8365,NO,actualizado
"GT300","Vinilo Tipo 2 Obra Tambor Blanco",719060.8,719061,934779,934779,970732,970732,1006685,1006685,1042638,1042638,NO,actualizado
"GJ900","Vinilo Tipo Cubriente 1/2 Galón Chapaña",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ802","Vinilo Tipo Cubriente 1/2 Galón Lila",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ707","Vinilo Tipo Cubriente 1/2 Galón Pomarosa",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ706","Vinilo Tipo Cubriente 1/2 Galón Palo De Rosa",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ705","Vinilo Tipo Cubriente 1/2 Galón Curuba",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ704","Vinilo Tipo Cubriente 1/2 Galón Melon",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ615","Vinilo Tipo Cubriente 1/2 Galón Menta Fresca",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ610","Vinilo Tipo Cubriente 1/2 Galón Verde Manzana",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ608","Vinilo Tipo Cubriente 1/2 Galón Verde Agua",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ607","Vinilo Tipo Cubriente 1/2 Galón Verde Chartreuse",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ602","Vinilo Tipo Cubriente 1/2 Galón Verde Claro",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ501","Vinilo Tipo Cubriente 1/2 Galón Gris Nube",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ304","Vinilo Tipo Cubriente 1/2 Galón Crema",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ303","Vinilo Tipo Cubriente 1/2 Galón Blanco Hueso",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ302","Vinilo Tipo Cubriente 1/2 Galón Blanco Ostra",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ301","Vinilo Tipo Cubriente 1/2 Galón Blanco Almendra",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ208","Vinilo Tipo Cubriente 1/2 Galón Rojo Emociòn",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ202","Vinilo Tipo Cubriente 1/2 Galón Mora",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GJ05","Vinilo Tipo Cubriente 1/2 Galón Camelia",7970.51,7971,10362,10362,10761,10760,11159,11159,11558,11557,NO,actualizado
"GG913","Vinilo Tipo 2 Obra Galón  Marron",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG912","Vinilo Tipo 2 Obra Galón  Chocolate",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG911","Vinilo Tipo 2 Obra Galón  Sauce",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG900","Vinilo Tipo 2 Obra Galón Champaña",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG802","Vinilo Tipo 2 Obra Galón Lila",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG707","Vinilo Tipo 2 Obra Galón Pomarosa",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG706","Vinilo Tipo 2 Obra Galón Palo De Rosa",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG705","Vinilo Tipo 2 Obra Galón Curuba",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG704","Vinilo Tipo 2 Obra Galón Melon",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG625","Vinilo Tipo 2 Obra Galón  Verde Bruma",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG624","Vinilo Tipo 2 Obra Galón  Verde Oliva",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG623","Vinilo Tipo 2 Obra Galón  Verde Trebol",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG622","Vinilo Tipo 2 Obra Galón  Verde Aromatico",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG621","Vinilo Tipo 2 Obra Galón  Verde Herbal",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG620","Vinilo Tipo 2 Obra Galón  Verde Complice",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG615","Vinilo Tipo 2 Obra Galón Menta Fresca",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG610","Vinilo Tipo 2 Obra Galón Verde Manzana",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG609","Vinilo Tipo 2 Obra Galón Verde Seda",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG608","Vinilo Tipo 2 Obra Galón Verde Agua",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG607","Vinilo Tipo 2 Obra Galón Verde Chartreuse",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG602","Vinilo Tipo 2 Obra Galón Verde Claro",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG504","Vinilo Tipo 2 Obra Galón  Gris Estaño",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG501","Vinilo Tipo 2 Obra Galón Gris Nube",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG312","Vinilo Tipo 2 Obra Galón  Blanco Ilusion",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG311","Vinilo Tipo 2 Obra Galón  Luz Tenue",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG310","Vinilo Tipo 2 Obra Galón  Blanco Novia",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG308","Vinilo Tipo 2 Obra Galón  Blanco  Arena",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG307","Vinilo Tipo 2 Obra Galón  Blanca  Luna",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG306","Vinilo Tipo 2 Obra Galón  Blanco Chantillí",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG305","Vinilo Tipo 2 Obra Galón  Blanco Manzana",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG304","Vinilo Tipo 2 Obra Galón Crema",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG303","Vinilo Tipo 2 Obra Galón Blanco Hueso",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG302","Vinilo Tipo 2 Obra Galón Blanco Ostra",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG301","Vinilo Tipo 2 Obra Galón Blanco Almendra",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG300","Vinilo Tipo 2 Obra Galón Blanco",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG214","Vinilo Tipo 2 Obra Galón  Rojo Dulce",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG213","Vinilo Tipo 2 Obra Galón Rojo Flamenco",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG212","Vinilo Tipo 2 Obra Galón  Rojo Tierra",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG211","Vinilo Tipo 2 Obra Galón  Rojo Canela",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG210","Vinilo Tipo 2 Obra Galón  Coral",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG208","Vinilo Tipo 2 Obra Galón Rojo Emociòn",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG202","Vinilo Tipo 2 Obra Galón Mora",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG2","Vinilo Tipo Cubriente  Galón Blanco",32175,32175,41828,41828,43436,43436,45045,45045,46654,46654,NO,sin_cambio_base
"GG113","Vinilo Tipo 2 Obra Galón  Azul Navegante",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG112","Vinilo Tipo 2 Obra Galón  Cielo De Abril",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
"GG111","Vinilo Tipo 2 Obra Galón  Fiesta Del Mar",19974,19974,25966,25966,26965,26965,27964,27964,28962,28962,NO,sin_cambio_base
