cod_interno,titulo,precio_base_archivo,precio_lista_firestore,precio_mayorista_old,precio_mayorista_new,precio_negocio_old,precio_negocio_new,precio_persona_natural_old,precio_persona_natural_new,precio_nuevos_old,precio_nuevos_new,es_excepcion_KQ,estado
"VG606","Vinilo Tipo 1  Super Lavable   Galón Verde Cariñoso",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG605","Vinilo Tipo 1  Super Lavable   Galón Verde Ensueño",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG604","Vinilo Tipo 1  Super Lavable   Galón Verde Jaimaquino",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG603","Vinilo Tipo 1  Super Lavable   Galón Verde Primaveral",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG602","Vinilo Tipo 1  Super Lavable   Galón Verde Claro",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG601","Vinilo Tipo 1  Super Lavable   Galón Verde Oscuro",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG511","Vinilo Tipo 1  Super Lavable Galón Gris Bajo Cero",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG510","Vinilo Tipo 1  Super Lavable Galón Gris Versalles",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG508","Vinilo Tipo 1 Super Lavable Galón Vc6002 Essential Gray",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG502","Vinilo Tipo 1  Super Lavable   Galón Gris Basalto",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG501","Vinilo Tipo 1  Super Lavable   Galón Gris Nube",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG400","Vinilo Tipo 1  Super Lavable   Galón Negro",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG308","Vinilo Tipo 1 Super Lavable Galón Blanco Arena",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG304","Vinilo Tipo 1  Super Lavable   Galón Crema",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG303","Vinilo Tipo 1  Super Lavable   Galón Blanco Hueso",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG302","Vinilo Tipo 1  Super Lavable   Galón Blanco Ostra",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG301","Vinilo Tipo 1  Super Lavable   Galón Blanco Almendra",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG300","Vinilo Tipo 1  Super Lavable   Galón Blanco",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG215","Vinilo Tipo 1  Super Lavable Galón Vestidos De Flores",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG208","Vinilo Tipo 1  Super Lavable   Galón Rojo Emociòn",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG206","Vinilo Tipo 1  Super Lavable   Galón Rosado",46368,46368,60278,60278,62597,62597,64915,64915,67234,67234,NO,sin_cambio_base
"VG205","Vinilo  Super  Galón Fucsia",46368,46368,60278,60278,62597,62597,64915,64915,67234,67234,NO,sin_cambio_base
"VG204","Vinilo Tipo 1  Super Lavable   Galón Terracota",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG203","Vinilo Tipo 1  Super Lavable   Galón Arrecife",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG202","Vinilo Tipo 1  Super Lavable   Galón Mora",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG201","Vinilo Tipo 1  Super Lavable   Galón Rojo Colonial",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG200","Vinilo Tipo 1  Super Lavable   Galón Rojo",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG107","Vinilo Tipo 1  Super Lavable   Galón Agua Marina",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG106","Vinilo Tipo 1  Super Lavable   Galón Azul Cielo",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG105","Vinilo Tipo 1  Super Lavable   Galón Azul Porcelana",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG104","Vinilo Tipo 1  Super Lavable   Galón Azul Celeste",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG103","Vinilo Tipo 1  Super Lavable   Galón Azul Nordico",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG102","Vinilo Tipo 1  Super Lavable   Galón Azul Pacifico",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG101","Vinilo  Tipo 1  Super Lavable   Galón Azul Milano",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG100","Vinilo Tipo 1  Super Lavable   Galón Azul",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG08","Vinilo Tipo 1  Super Lavable   Galón Amarillo Otoñal",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG07","Vinilo Tipo 1  Super Lavable   Galón Trigo",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG06","Vinilo Tipo 1  Super Lavable   Galón Ocre",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG05","Vinilo Tipo 1  Super Lavable   Galón Camelia",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG04","Vinilo Tipo 1  Super Lavable   Galón Amarillo Oro",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VG03","Vinilo Tipo 1  Super Lavable   Galón Amarillo Fusion",39651,39651,51546,51546,53529,53529,55511,55511,57494,57494,NO,sin_cambio_base
"VG01","Vinilo Tipo 1  Super Lavable   Galón Amarillo",26631.6,26632,34622,34621,35953,35953,37285,37284,38616,38616,NO,actualizado
"VEX200","Vinilo  Super  1/4 Rojo",9912.7,9913,12887,12887,13383,13382,13878,13878,14374,14373,NO,actualizado
"VEX100","Vinilo  Super  1/4 Azul",9912.7,9913,12887,12887,13383,13382,13878,13878,14374,14373,NO,actualizado
"VEX01","Vinilo  Super  1/4 Amarillo",9912.7,9913,12887,12887,13383,13382,13878,13878,14374,14373,NO,actualizado
"VC914","Vinilo Tipo 1 Super Lavable Cuñete Taupe Sw7038",243180,243180,316134,316134,328293,328293,340452,340452,352611,352611,NO,sin_cambio_base
"VC906","Vinilo Tipo 1  Super Lavable   Cuñete Castaño",186360,186360,242268,242268,251586,251586,260904,260904,270222,270222,NO,sin_cambio_base
"VC904","Vinilo Tipo 1  Super Lavable   Cuñete Tabaco",210000,210000,273000,273000,283500,283500,294000,294000,304500,304500,NO,sin_cambio_base
"VC903","Vinilo Tipo 1  Super Lavable   Cuñete Cipres",186360,186360,242268,242268,251586,251586,260904,260904,270222,270222,NO,sin_cambio_base
"VC900","Vinilo Tipo 1  Super Lavable Cuñete Champaña",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC803","Vinilo Tipo 1  Super Lavable Cuñete Uva",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC802","Vinilo Tipo 1  Super Lavable Cuñete  Lila",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC801","Vinilo Tipo 1  Super Lavable Cuñete Morado",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC800","Vinilo Tipo 1  Super Lavable   Cuñete Violeta",186360,186360,242268,242268,251586,251586,260904,260904,270222,270222,NO,sin_cambio_base
"VC710","Vinilo Tipo 1  Super Lavable Cuñete Naranja Fiesta Otoñal",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC708","Vinilo Tipo 1  Super Lavable   Cuñete Thai",186360,186360,242268,242268,251586,251586,260904,260904,270222,270222,NO,sin_cambio_base
"VC707","Vinilo Tipo 1  Super Lavable Cuñete Pomarosa",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC706","Vinilo Tipo 1  Super Lavable   Cuñete Palo De Rosa",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC705","Vinilo Tipo 1  Super Lavable Cuñete Curuba",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC704","Vinilo Tipo 1  Super Lavable Cuñete Melon",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC703","Vinilo Tipo 1  Super Lavable Cuñete Mandarina Tropical",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC702","Vinilo Tipo 1  Super Lavable   Cuñete Naranja Chic",186360,186360,242268,242268,251586,251586,260904,260904,270222,270222,NO,sin_cambio_base
"VC701","Vinilo Tipo 1  Super Lavable Cuñete Naranaja Tropical",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC700","Vinilo Tipo 1  Super Lavable Cuñete Naranja",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC619","Vinilo Tipo 1  Super Lavable Cuñete Verde Tropical",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC617","Vinilo Tipo 1  Super Lavable Cuñete Verde Aceituna",133160.8,133161,173109,173109,179767,179767,186425,186425,193083,193083,NO,actualizado
"VC616","Vinilo Tipo 1  Super Lavable   Cuñete Verde Navidad",186360,186360,242268,242268,251586,251586,260904,260904,270222,270222,NO,sin_cambio_base
